,code,name,quantity,brands,Energy,Saturated_fatty_acids,Sugars,Fiber,Proteins,Salt,Fruit/vegetable,Nutriscore,Nutriscore_point,Part_5 model
0,3266191006505.0,Barres croustillantes tout chocolat,125,La Vie Claire,426.0,9.4,34.0,12.0,6.5,0.01,0.0,d,16.0,2
1,3228857001132.0,Doo Wap pépites choco sans additif,320,Harrys,340.0,3.5,18.0,4.4,8.0,0.75,0.0,c,9.0,1
2,3228857001347.0,Brioche tranchée aux pépites de chocolat,485,Harrys,357.0,2.7,16.6,5.2,7.0,0.65,0.0,c,6.0,1
3,3270160853694.0,Petits sablés chocolat noir et sel de guérande,120,Picard,508.0,16.0,27.0,4.0,6.5,1.1,0.0,e,21.0,3
4,3228857001934.0,Brioche tranchée harrys au chocolat et à la noix de coco,450,Harrys,348.0,4.3,14.0,7.0,9.2,0.9,9.7,c,9.0,1
5,3760049797589.0,Bizz éclats choco lait,240,La Boulangere,367.0,4.1,13.0,2.1,8.3,0.96,0.0,d,12.0,0
6,3250392488598.0,Toasts de riz chocolat au lait bio,100,Regain,511.0,15.0,29.1,3.9,7.1,0.09,0.0,d,18.0,2
7,3222477445918.0,"Barres de céréales abricot, chocolat noir, amande.",120,Casino Bio,368.0,3.5,28.0,12.0,6.2,0.16,40.5,c,7.0,2
8,3222475820908.0,Bâtonnets chocolat au lait,100,"Casino Bio,Casino",568.0,24.0,45.0,0.0,8.3,0.25,0.0,e,27.0,3
9,3770013545832.0,Biscuit Tout Chocolat,100,Bam&Co,487.0,4.0,22.8,8.0,6.0,0.15,14.0,c,9.0,2
10,3560071281519.0,Assortiment de bonbons de chocolats,175,"Carrefour Bio,Carrefour",539.0,17.0,39.0,7.4,7.7,0.16,15.2,e,19.0,2
11,3501940566009.0,Petit lapin chocolat au lait bio,40,Bovetti,590.0,26.0,47.0,2.5,7.0,0.2,0.0,e,25.0,3
12,7108814119505.0,La Barre Boostée au chocolat noir,40,Nomank,388.0,2.5,22.5,7.8,8.5,0.2,0.0,b,0.0,2
13,3350033528109.0,Bâtonnets,125,"Monoprix Bio,Monoprix",513.0,14.0,34.0,2.7,6.5,0.37,0.0,e,22.0,3
14,3760121217912.0,Chocolat noir éclats d'amandes et de caramel,100,Biocoop,573.0,22.0,40.0,8.1,5.2,0.67,0.0,e,22.0,4
